adm2_code,year,phen_gup,phen_dor,yield
US20039,2018,76,278,91.79158
US20041,2018,69,281,100.90485
US20043,2018,116,286,166.37804
US20045,2018,105,298,102.17238
US20047,2018,100,271,169.7555
US20055,2018,88,282,145.363
US20057,2018,102,273,157.06677
US20059,2018,97,303,105.948074
US20061,2018,102,293,112.179665
US20063,2018,77,276,98.465034
US20065,2018,81,284,96.02423
US20067,2018,85,271,146.24193
US20069,2018,105,282,154.71994
US20071,2018,80,271,94.46944
US20073,2018,82,294,111.33417
US20075,2018,81,261,83.67464
US20079,2018,74,271,134.45955
US20081,2018,117,278,156.5819
US20085,2018,99,304,125.26391
US20087,2018,112,294,129.89143
US20089,2018,97,290,132.82732
US20093,2018,110,287,145.58429
US20095,2018,61,252,133.01935
US20097,2018,102,276,163.36511
US20099,2018,73,291,112.460625
US20107,2018,85,302,118.97176
US20109,2018,75,257,91.98754
US20111,2018,103,293,99.151535
US20113,2018,70,262,135.20673
US20115,2018,67,286,92.96466
US20117,2018,106,293,113.075966
US20119,2018,113,277,163.09036
US20121,2018,88,311,119.08631
US20123,2018,64,266,111.49608
US20125,2018,79,288,107.42731
US20127,2018,84,298,87.87441
US20129,2018,106,283,105.660965
US20131,2018,108,294,95.69311
US20133,2018,77,291,103.91033
US20137,2018,82,283,104.63327
US20139,2018,101,303,90.298615
US20141,2018,76,277,100.12595
US20145,2018,68,263,135.27882
US20147,2018,83,286,116.06056
US20149,2018,118,285,126.72537
US20151,2018,84,266,170.60718
US20153,2018,81,273,91.455734
US20155,2018,74,264,148.73387
US20157,2018,110,289,141.1893
US20159,2018,67,254,116.71588
US20161,2018,106,292,113.28528
US20163,2018,79,285,96.820724
US20171,2018,77,267,116.815575
US20173,2018,81,277,118.90791
US20175,2018,112,276,155.2123
US20177,2018,121,285,135.54689
US20179,2018,106,283,114.585014
US20181,2018,107,287,96.25487
US20183,2018,70,273,114.89713
US20185,2018,77,269,154.22005
US20187,2018,103,273,118.13648
US20189,2018,115,280,151.9622
US20191,2018,53,253,102.19573
US20193,2018,106,278,107.73496
US20197,2018,112,292,113.224976
US20199,2018,107,286,105.14484
US20201,2018,96,294,130.71437
US20203,2018,82,280,78.85096
US20205,2018,74,288,107.6853
US20207,2018,88,293,116.45773
US21007,2018,76,281,137.3589
US21009,2018,70,291,163.30772
US21027,2018,83,292,149.90097
US21031,2018,94,289,162.5579
US21033,2018,83,273,167.15968
US21035,2018,81,279,144.05005
US21039,2018,82,280,135.53389
US21045,2018,88,282,162.94771
US21047,2018,68,267,166.53108
US21055,2018,91,292,141.32982
US21059,2018,104,280,170.678
US21075,2018,73,271,173.163
US21083,2018,78,280,139.08144
US21085,2018,79,290,143.97096
US21087,2018,77,296,157.53748
US21091,2018,97,283,161.74898
US21093,2018,75,280,172.68268
US21101,2018,107,280,160.17834
US21105,2018,81,271,160.50943
US21107,2018,105,282,159.74721
US21123,2018,71,284,164.52643
US21137,2018,77,296,163.45575
US21139,2018,86,293,147.49849
US21141,2018,67,273,154.89127
US21143,2018,77,279,151.36174
US21145,2018,74,286,127.16418
US21149,2018,100,278,171.07439
US21155,2018,82,292,153.49632
US21157,2018,85,289,109.31497
US21163,2018,76,285,175.52458
US21177,2018,91,284,143.67126
US21179,2018,77,289,154.90752
US21183,2018,99,289,172.18211
US21199,2018,79,291,163.11134
US21211,2018,78,292,163.56094
US21213,2018,79,278,147.31741
US21217,2018,75,296,178.78288
US21219,2018,70,278,150.55539
US21221,2018,78,270,170.55717
US21225,2018,101,277,174.0484
US21227,2018,80,276,166.45679
US21233,2018,105,283,168.3141
US22009,2018,62,259,169.75162
US22017,2018,91,297,119.950516
US22025,2018,80,271,156.0995
US22029,2018,66,263,144.6904
US22035,2018,100,258,173.56677
US22041,2018,65,276,173.46686
US22065,2018,100,261,172.30081
US22067,2018,98,277,161.30237
US22069,2018,69,277,157.62541
US22077,2018,56,245,177.93384
US22079,2018,63,279,163.97823
US22083,2018,69,280,156.63559
US22097,2018,62,236,177.65253
US22107,2018,86,276,165.82277
US22123,2018,72,271,165.43391
US24005,2018,93,324,154.53236
US24011,2018,87,289,156.7378
US24013,2018,84,324,153.0637
US24015,2018,89,305,156.7647
US24017,2018,91,309,130.9746
US24019,2018,93,287,156.6076
US24021,2018,80,316,144.70473
US24025,2018,93,314,159.0835
US24027,2018,87,325,158.74039
US24029,2018,92,291,173.9331
US24031,2018,89,314,150.3986
US24035,2018,89,295,159.82011
US24037,2018,87,295,128.54323
US24039,2018,83,282,144.13078
US24041,2018,86,294,147.56036
US24043,2018,78,324,156.69969
US24045,2018,87,294,124.87984
US24047,2018,94,286,145.49368
US26005,2018,103,311,155.6676
US26011,2018,122,307,159.80653
US26015,2018,106,309,150.76996
US26017,2018,134,293,166.75711
US26021,2018,107,304,159.17743
US26023,2018,116,297,158.9398
US26025,2018,113,302,151.7336
US26027,2018,110,298,156.96628
US26037,2018,116,307,136.74716
US26045,2018,114,303,154.45007
US26049,2018,114,310,157.72258
US26051,2018,122,306,144.62009
US26055,2018,98,324,134.11221
US26057,2018,130,299,170.53563
US26059,2018,112,301,155.7368
US26063,2018,126,302,158.72798
US26065,2018,112,302,142.00284
US26067,2018,116,304,163.52254
US26073,2018,118,309,147.79028
US26075,2018,109,306,146.77936
US26077,2018,114,301,163.14958
US26081,2018,102,316,148.1785
US26087,2018,118,307,166.74297
US26091,2018,123,296,154.75592
US26093,2018,109,311,141.97585
US26099,2018,120,304,166.04675
US26105,2018,101,321,124.60312
US26107,2018,108,313,126.43267
US26109,2018,108,324,127.132935
US26111,2018,129,301,165.9828
US26113,2018,96,326,132.58665
US26115,2018,117,299,150.99617
US26117,2018,109,314,145.29587
US26121,2018,99,318,145.24944
US26123,2018,100,321,127.14879
US26127,2018,98,325,115.74956
US26129,2018,108,316,139.28882
US26139,2018,94,320,145.9479
US26145,2018,132,296,168.75284
US26147,2018,122,303,168.67603
US26149,2018,116,299,140.81319
US26151,2018,126,304,163.24693
US26155,2018,121,302,147.56213
US26157,2018,131,297,165.246
US26159,2018,105,306,151.60576
US26161,2018,113,306,142.67087
US27003,2018,119,310,131.44174
US27005,2018,145,279,162.33978
US27009,2018,126,304,162.5779
US27011,2018,152,282,192.50581
US27013,2018,152,279,189.63461
US27015,2018,151,282,168.63184
US27019,2018,133,294,173.4887
US27023,2018,156,283,185.57275
US27025,2018,123,305,151.97539
US27027,2018,150,283,165.4407
US27033,2018,153,282,182.67073
US27035,2018,124,303,147.79639
US27037,2018,137,290,178.43959
US27039,2018,148,283,195.37721
US27041,2018,141,296,178.99718
US27043,2018,155,280,191.82642
US27045,2018,132,294,194.95056
US27047,2018,150,283,191.1558
US27049,2018,137,293,198.38542
US27051,2018,153,282,188.89145
US27053,2018,123,306,157.81728
US27055,2018,119,302,170.14081
US27059,2018,128,302,146.32323
US27063,2018,156,281,170.78137
US27065,2018,123,306,160.18631
US27067,2018,151,285,191.29813
US27073,2018,150,283,192.4877
US27079,2018,142,285,194.47005
US27081,2018,145,287,179.95447
US27083,2018,150,279,168.28212
US27085,2018,146,285,180.46873
US27087,2018,148,281,168.8242
US27089,2018,155,278,147.85872
US27091,2018,155,279,171.36449
US27093,2018,145,288,184.72862
US27095,2018,127,302,167.5258
US27097,2018,127,308,166.21123
US27099,2018,148,283,192.48848
US27101,2018,153,283,170.04034
US27103,2018,151,280,195.65231
US27105,2018,154,283,185.9243
US27107,2018,149,280,161.9692
US27109,2018,131,294,183.98401
US27111,2018,143,291,179.54541
US27115,2018,126,308,157.30739
US27117,2018,147,289,173.82933
US27119,2018,145,276,145.91057
US27121,2018,146,290,185.66449
US27125,2018,148,279,147.40575
US27127,2018,154,279,164.89922
US27129,2018,156,281,184.01585
US27131,2018,141,287,197.5122
US27133,2018,147,287,191.40372
US27139,2018,136,292,182.95148
US27141,2018,134,293,166.49432
US27143,2018,152,282,193.63503
US27145,2018,132,302,178.71649
US27147,2018,147,284,193.39822
US27149,2018,154,283,184.64781
US27151,2018,152,285,189.53241
US27153,2018,130,305,155.1651
US27155,2018,155,280,195.36423
US27157,2018,125,300,183.81798
US27159,2018,133,298,140.39708
US27161,2018,150,282,195.64436
US27163,2018,131,298,178.2166
US27165,2018,153,281,165.52231
US27167,2018,148,275,166.84499
US27169,2018,125,300,194.68329
US27171,2018,134,298,181.37637
US27173,2018,151,282,187.5666
US28011,2018,113,280,171.7314
US28013,2018,101,292,158.45378
US28015,2018,96,278,164.5465
US28027,2018,117,274,165.39548
US28033,2018,107,288,163.05562
US28049,2018,77,290,147.73526
US28051,2018,105,284,176.10202
US28053,2018,107,282,168.93944
US28055,2018,109,273,168.58344
US28083,2018,111,280,171.02322
US28087,2018,94,281,143.52058
US28089,2018,67,278,144.6432
US28095,2018,95,285,149.37996
US28103,2018,91,273,166.29108
US28107,2018,100,280,152.37529
US28119,2018,116,276,174.46849
US28125,2018,110,267,181.21901
US28133,2018,112,275,167.15074
US28135,2018,109,278,173.99428
US28143,2018,124,278,175.47832
US28149,2018,84,277,167.02861
US28151,2018,109,266,181.46739
US28163,2018,91,280,170.49155
US29001,2018,101,308,140.63873
US29003,2018,112,293,133.37451
US29005,2018,131,281,186.51735
US29007,2018,102,291,153.98671
US29011,2018,71,285,116.428505
US29013,2018,92,296,151.35182
US29015,2018,81,304,132.11905
